,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
4615.0,13.904916019248832,0.744166680154227,0.0,0.0,-0.0005302327808475103,0.0,0.0,1.209408841911972
4616.0,13.904897207399866,0.7435327715599909,0.0,0.0,-0.0005381883687102131,0.0,0.0,1.2088746313856906
4617.0,13.904879138307386,0.7428913664724519,0.0,0.0,-0.0005461443826574798,0.0,0.0,1.2083324650325142
4618.0,13.904861814700325,0.7422424697144634,0.0,0.0,-0.0005541005104069888,0.0,0.0,1.2077823425824326
4619.0,13.904845239285919,0.7415860864171743,0.0,0.0,-0.0005620564388785594,0.0,0.0,1.2072242640781174
4620.0,13.904829414749532,0.7409222220206113,0.0,0.0,-0.000570011854205458,0.0,0.0,1.2066582298757151
4621.0,13.904814343754499,0.7402508822742491,0.0,0.0,-0.0005779664417457624,0.0,0.0,1.206084240645627
4622.0,13.904800028941954,0.7395720732375685,0.0,0.0,-0.0005859198860937854,0.0,0.0,1.2055022973732792
4623.0,13.904786472930674,0.7388858012806033,0.0,0.0,-0.0005938718710915577,0.0,0.0,1.204912401359881
4624.0,13.904773678316904,0.7381920730844754,0.0,0.0,-0.0006018220798403674,0.0,0.0,1.204314554223171
4625.0,13.904761647674203,0.7374908956419172,0.0,0.0,-0.0006097701947123586,0.0,0.0,1.2037087578981513
4626.0,13.90475038355328,0.7367822762577827,0.0,0.0,-0.0006177158973621857,0.0,0.0,1.2030950146378125
4627.0,13.904739888481824,0.736066222549547,0.0,0.0,-0.000625658868738725,0.0,0.0,1.2024733270138437
4628.0,13.904730164964352,0.735342742447793,0.0,0.0,-0.0006335987890968416,0.0,0.0,1.2018436979173335
4629.0,13.90472121548204,0.7346118441966861,0.0,0.0,-0.0006415353380092116,0.0,0.0,1.2012061305594577
4630.0,13.904713042492563,0.7338735363544376,0.0,0.0,-0.0006494681943782002,0.0,0.0,1.2005606284721555
4631.0,13.904705648429944,0.733127827793755,0.0,0.0,-0.0006573970364477927,0.0,0.0,1.1999071955087939
4632.0,13.904699035704379,0.7323747277022802,0.0,0.0,-0.0006653215418155801,0.0,0.0,1.1992458358448201
4633.0,13.90469320670209,0.7316142455830161,0.0,0.0,-0.0006732413874447975,0.0,0.0,1.1985765539784021
4634.0,13.90468816378516,0.7308463912547406,0.0,0.0,-0.000681156249676415,0.0,0.0,1.1978993547310564
4635.0,13.904683909291375,0.7300711748524076,0.0,0.0,-0.0006890658042412813,0.0,0.0,1.1972142432482649
4636.0,13.904680445534071,0.7292886068275365,0.0,0.0,-0.0006969697262723181,0.0,0.0,1.1965212250000785
4637.0,13.904677774801973,0.7284986979485889,0.0,0.0,-0.0007048676903167655,0.0,0.0,1.1958203057817094
4638.0,13.904675899359038,0.7277014593013327,0.0,0.0,-0.0007127593703484783,0.0,0.0,1.1951114917141097
4639.0,13.904674821444301,0.7268969022891938,0.0,0.0,-0.0007206444397802713,0.0,0.0,1.1943947892445397
4640.0,13.904674543271721,0.7260850386335955,0.0,0.0,-0.0007285225714763143,0.0,0.0,1.1936702051471217
4641.0,13.904675067030022,0.7252658803742849,0.0,0.0,-0.0007363934377645752,0.0,0.0,1.1929377465233837
4642.0,13.904676394882545,0.7244394398696467,0.0,0.0,-0.000744256710449312,0.0,0.0,1.1921974208027881
4643.0,13.904678528967088,0.7236057297970047,0.0,0.0,-0.000752112060823611,0.0,0.0,1.1914492357432498
4644.0,13.904681471395758,0.72276476315291,0.0,0.0,-0.0007599591596819727,0.0,0.0,1.1906931994316408
4645.0,13.90468522425482,0.7219165532534173,0.0,0.0,-0.0007677976773329433,0.0,0.0,1.1899293202842829
4646.0,13.90468978960454,0.7210611137343471,0.0,0.0,-0.0007756272836117927,0.0,0.0,1.189157607047427
4647.0,13.904695169479035,0.7201984585515366,0.0,0.0,-0.0007834476478932363,0.0,0.0,1.1883780687977201
